time,latitude,longitude,altitude
1697739351.0618217,nan,nan,nan
1697739351.1631944,nan,nan,nan
1697739351.2608256,nan,nan,nan
1697739351.3617487,nan,nan,nan
1697739351.4613993,nan,nan,nan
1697739351.561613,nan,nan,nan
1697739351.661781,nan,nan,nan
1697739351.7621837,nan,nan,nan
1697739351.8614228,nan,nan,nan
1697739351.9620562,nan,nan,nan
1697739352.0620697,nan,nan,nan
1697739352.1615796,nan,nan,nan
1697739352.2622714,nan,nan,nan
1697739352.3616428,nan,nan,nan
1697739352.461449,nan,nan,nan
1697739352.5622568,nan,nan,nan
1697739352.661436,nan,nan,nan
1697739352.761407,nan,nan,nan
1697739352.8615851,nan,nan,nan
1697739352.962529,nan,nan,nan
1697739353.06146,nan,nan,nan
1697739353.1621642,nan,nan,nan
1697739353.2619066,nan,nan,nan
1697739353.361652,nan,nan,nan
1697739353.462191,nan,nan,nan
1697739353.5628595,nan,nan,nan
1697739353.6616356,nan,nan,nan
1697739353.7626631,nan,nan,nan
1697739353.8617964,nan,nan,nan
1697739353.9620275,nan,nan,nan
1697739354.0623097,nan,nan,nan
1697739354.1626494,nan,nan,nan
1697739354.261535,nan,nan,nan
1697739354.3620005,nan,nan,nan
1697739354.4633503,nan,nan,nan
1697739354.561942,nan,nan,nan
1697739354.6625671,nan,nan,nan
1697739354.7621744,nan,nan,nan
1697739354.8621647,nan,nan,nan
1697739354.962441,nan,nan,nan
1697739355.0625136,nan,nan,nan
1697739355.1620119,nan,nan,nan
1697739355.2619138,nan,nan,nan
1697739355.3626406,nan,nan,nan
1697739355.4626899,nan,nan,nan
1697739355.5625858,nan,nan,nan
1697739355.661769,nan,nan,nan
1697739355.7623384,nan,nan,nan
1697739355.862515,nan,nan,nan
1697739355.9628932,nan,nan,nan
1697739356.0624442,nan,nan,nan
1697739356.1623921,nan,nan,nan
1697739356.263544,nan,nan,nan
1697739356.3621542,nan,nan,nan
1697739356.46235,nan,nan,nan
1697739356.5624347,nan,nan,nan
1697739356.6622615,nan,nan,nan
1697739356.7625349,nan,nan,nan
1697739356.86184,nan,nan,nan
1697739356.9617558,nan,nan,nan
1697739357.0621898,nan,nan,nan
1697739357.1636202,nan,nan,nan
